NomeEmpreendimento;TituloGrupo;NomeGrupo;TituloUnidade;NomeUnidade;Situacao;DimensaoFrente;DimensaoFundos;DimensaoEsquerda;DimensaoDireita;DimensaoOutros;Descricao;Observacoes;AreaTotal;ValorMetroQuadrado;ConfrontacaoFrente;ConfrontacaoFundos;ConfrontacaoEsquerda;ConfrontacaoDireita;NumeroMatricula;DataMatricula;ValorUnidade
Jardim das Acácias II;Quadra;002;Lote;001;Vendida;7,00;10,00;15,82;18,82;0,00;ESQUINA/COM ;;186,27;279;AVENIDA JOÃO COSTA MOURA;Lote 54;RUA JOAQUIM DE PAULO MARQUES;Lote 02;28618;30/03/2022;51969,33
Jardim das Acácias II;Quadra;002;Lote;002;Vendida;10,00;10,00;18,82;18,82;0,00;COMERCIAL ;;188,2;279;AVENIDA JOÃO COSTA MOURA;Lote 54;Lote 01;Lote 03;28619;30/03/2022;52507,8
Jardim das Acácias II;Quadra;002;Lote;003;Vendida;10,00;10,00;18,82;18,82;0,00;COMERCIAL ;;188,2;289,63;AVENIDA JOÃO COSTA MOURA;Lote 05;Lote 02;Lote 04;28620;30/03/2022;54507,8
Jardim das Acácias II;Quadra;002;Lote;004;Vendida;7,00;10,00;18,82;15,82;0,00;ESQUINA/COM ;;186,27;292,63;AVENIDA JOÃO COSTA MOURA;Lote 05;Lote 03;RUA JOSÉ QUIRINO FILHO;28621;30/03/2022;54507,8
Jardim das Acácias II;Quadra;002;Lote;005;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;322,11;RUA JOSÉ QUIRINO FILHO;Lote 54;Lote 04 e Lote 03;Lote 06;28622;30/03/2022;51537,47
Jardim das Acácias II;Quadra;002;Lote;006;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;313;RUA JOSÉ QUIRINO FILHO;Lote 53;Lote 05;Lote 06;28623;30/03/2022;50080
Jardim das Acácias II;Quadra;002;Lote;007;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;265;RUA JOSÉ QUIRINO FILHO;Lote 52;Lote 06;Lote 07;28624;30/03/2022;42400
Jardim das Acácias II;Quadra;002;Lote;008;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;265;RUA JOSÉ QUIRINO FILHO;Lote 51;Lote 07;Lote 08;28625;30/03/2022;42400
Jardim das Acácias II;Quadra;002;Lote;009;Bloqueada;8,00;8,00;20,00;20,00;0,00; Maurilio;Maurilio;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 50;Lote 08;Lote 09;28626;30/03/2022;60327,27
Jardim das Acácias II;Quadra;002;Lote;010;Bloqueada;8,00;8,00;20,00;20,00;0,00; Maurilio;Maurilio;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 49;Lote 09;Lote 10;28627;30/03/2022;60327,27
Jardim das Acácias II;Quadra;002;Lote;011;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;359,09;RUA JOSÉ QUIRINO FILHO;Lote 48;Lote 10;Lote 11;28628;30/03/2022;57454,54
Jardim das Acácias II;Quadra;002;Lote;012;Bloqueada;8,00;8,00;20,00;20,00;0,00; ADRIANO;ADRIANO;160;388,02;RUA JOSÉ QUIRINO FILHO;Lote 47;Lote 11;Lote 12;28629;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;013;Bloqueada;8,00;8,00;20,00;20,00;0,00; ADRIANO;ADRIANO;160;388,02;RUA JOSÉ QUIRINO FILHO;Lote 46;Lote 12;Lote 13;28630;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;014;Bloqueada;8,00;8,00;20,00;20,00;0,00; ADRIANO;ADRIANO;160;388,02;RUA JOSÉ QUIRINO FILHO;Lote 45;Lote 13;Lote 14;28631;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;015;Bloqueada;8,00;8,00;20,00;20,00;0,00; ADRIANO;ADRIANO;160;388,02;RUA JOSÉ QUIRINO FILHO;Lote 44;Lote 14;Lote 15;28632;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;016;Bloqueada;8,00;8,00;20,00;20,00;0,00; ADRIANO;ADRIANO;160;388,02;RUA JOSÉ QUIRINO FILHO;Lote 43;Lote 15;Lote 16;28633;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;017;Bloqueada;8,00;8,00;20,00;20,00;0,00; ADRIANO;ADRIANO;160;388,02;RUA JOSÉ QUIRINO FILHO;Lote 42;Lote 16;Lote 17;28634;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;018;Bloqueada;8,00;8,00;20,00;20,00;0,00; ADRIANO;ADRIANO;160;388,02;RUA JOSÉ QUIRINO FILHO;Lote 41;Lote 17;Lote 18;28635;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;019;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;388,02;RUA JOSÉ QUIRINO FILHO;Lote 40;Lote 18;Lote 19;28636;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;020;Vendida;8,00;8,00;20,00;20,00;0,00; TOPOGRAFO;TOPOGRAFO;160;369,54;RUA JOSÉ QUIRINO FILHO;Lote 39;Lote 19;Lote 20;28637;30/03/2022;59126,62
Jardim das Acácias II;Quadra;002;Lote;021;Bloqueada;8,00;8,00;20,00;20,00;0,00; ROBERTO;ROBERTO;160;388,02;RUA JOSÉ QUIRINO FILHO;Lote 38;Lote 20;Lote 21;28638;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;022;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 37;Lote 21;Lote 22;28639;30/03/2022;60327,27
Jardim das Acácias II;Quadra;002;Lote;023;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 36;Lote 22;Lote 23;28640;30/03/2022;60327,27
